timevote,subgroup,id,moment,student,gender,age,thermalsatisfaction,iaqsatisfaction,acousticsatisfaction,visualsatisfaction,ieqsatisfaction,clo_simple,activity,thermal_warm,thermal_cold,thermal_draft,thermal_other,iaq_stuffy,iaq_odour,iaq_dry,iaq_humid,iaq_other,ac_classroom,ac_hallway,ac_device,ac_outside,ac_other,vis_blackboard,vis_underexposure,vis_overexposure,vis_glare,vis_other,locationback,locationfront,troom,rh,co2,voc,sound,lighting,ea,ttrend,trm,locationleft,locationright,locationmiddle,groupobs,windowmajority,windowsclosed,activitymajority,time_troom,time_rh,time_co2,time_ea,time_trend,time_sound,time_voc,time_lighting,casestudy,clo_detailed,ac_ventilation,af
15/11/2021 14:36,E,PS_E10,End,True,female,11.0,3,4,3,4,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,19.8,48.0,601,,72.0,256.2,37.137,0.2,,False,True,True,,,False,,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,,15/11/2021 14:38,PrimarySchool,,,
15/11/2021 14:37,E,PS_E9,End,True,female,11.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,19.8,48.0,601,,72.0,256.2,37.137,0.2,,False,True,False,,,False,,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,,15/11/2021 14:38,PrimarySchool,,,
15/11/2021 14:37,E,PS_E8,End,True,female,11.0,4,5,5,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,19.8,48.0,601,,72.0,256.2,37.137,0.2,,False,False,False,,,False,,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,15/11/2021 14:35,,15/11/2021 14:38,PrimarySchool,,,
19/11/2021 8:38,E,PS_E4,Start,True,male,12.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.3,52.0,464,,71.0,256.2,39.596,0.2,,True,False,False,,,False,,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,,19/11/2021 8:36,PrimarySchool,,,
19/11/2021 8:38,E,PS_E6,Start,True,female,11.0,5,5,5,5,5,Warmly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.3,52.0,464,,71.0,256.2,39.596,0.2,,True,False,False,,,False,,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,,19/11/2021 8:36,PrimarySchool,,,
19/11/2021 8:38,E,PS_E8,Start,True,female,11.0,4,5,4,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.3,52.0,464,,71.0,256.2,39.596,0.2,,False,False,False,,,False,,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,,19/11/2021 8:36,PrimarySchool,,,
19/11/2021 8:39,E,PS_E11,Start,True,female,11.0,5,5,1,5,4,Neutral,,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,,True,False,20.3,52.0,464,,71.0,256.2,39.596,0.2,,False,False,True,,,False,,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,,19/11/2021 8:41,PrimarySchool,,,
19/11/2021 8:39,E,PS_E14,Start,True,female,11.0,5,5,5,5,5,Lightly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.3,52.0,464,,71.0,256.2,39.596,0.2,,False,True,False,,,False,,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,19/11/2021 8:37,,19/11/2021 8:41,PrimarySchool,,,
19/11/2021 8:40,E,PS_E3,Start,True,female,11.0,3,3,2,4,5,Neutral,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,20.3,52.0,546,,69.0,256.2,39.594,0.2,,False,True,False,,,False,,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,,19/11/2021 8:41,PrimarySchool,,,
19/11/2021 8:40,E,PS_E2,Start,True,female,10.0,4,4,4,4,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.3,52.0,546,,69.0,256.2,39.594,0.2,,False,False,True,,,False,,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,19/11/2021 8:42,,19/11/2021 8:41,PrimarySchool,,,
